order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDK01040,2018-04-13,11:22:49,Breakfast,BK,"[('Pancake', 2), ('Cereal', 3), ('Eggs', 8)]",287.5,-37.8149753,144.9506194,0,10.074,15.1815468
ORDX10726,2018-12-01,18:59:09,Dinner,BK,"[('Shrimp', 5), ('Pasta', 2)]",325.0,-37.7991331,145.003862,0,5.038,14.3124862
ORDX11076,2018-02-07,09:10:59,Breakfast,,"[('Pancake', 5), ('Coffee', 2)]",136.25,-37.8050396,144.9267227,0,10.853,16.0099174
ORDZ08374,2018-10-31,17:58:18,Dinner,NS,"[('Shrimp', 10), ('Salmon', 3)]",663.0,-37.8119833,144.9614346,0,7.839,13.6625659
ORDC05830,2018-02-19,09:31:16,Breakfast,NS,"[('Pancake', 6), ('Coffee', 8)]",205.5,-37.8072312,144.9559266,0,8.085,12.8911257
ORDC01031,2018-03-04,10:01:41,Breakfast,NS,"[('Pancake', 9), ('Coffee', 8)]",278.25,-37.8019255,144.9681557,0,6.407,13.0426147
ORDY06195,2018-12-13,19:29:34,Dinner,,"[('Shrimp', 9), ('Pasta', 1)]",513.5,-37.818645,144.9683478,0,7.677,11.8352136
ORDY06544,2018-09-23,16:47:19,Dinner,TP,"[('Salmon', 6), ('Shrimp', 10)]",786.0,-37.7991009,144.9539298,0,9.96,15.8100943
ORDB02571,2018-10-24,17:48:10,Dinner,TP,"[('Shrimp', 3), ('Salmon', 6), ('Fish&Chips', 2)]",478.0,-37.8116263,145.0067582,0,11.598,15.6147785
ORDB05063,2018-12-04,19:09:17,Dinner,TP,"[('Fish&Chips', 4), ('Salmon', 1), ('Pasta', 5), ('Shrimp', 2)]",426.5,-37.8033334,144.9760114,0,9.785,13.3633739
ORDA03565,2018-12-07,19:19:26,Dinner,,"[('Pasta', 4), ('Fish&Chips', 1)]",145.0,-37.8055185,144.95227,0,8.395,15.3982023
ORDK04257,2018-10-25,17:48:10,Dinner,BK,"[('Pasta', 8), ('Salmon', 9)]",589.0,-37.8205241,144.9660663,0,7.975,14.6957413
ORDY01629,2018-05-23,12:43:56,Lunch,TP,"[('Steak', 2), ('Burger', 1), ('Salad', 8), ('Fries', 9)]",366.6,-37.8158459,145.0154183,0,13.018,15.4416484
ORDK00296,2018-07-06,14:05:04,Lunch,BK,"[('Steak', 6), ('Burger', 5)]",425.0,-37.8042779,144.9494748,0,8.748,14.6065099
ORDA01906,2018-05-31,12:54:05,Lunch,BK,"[('Burger', 4), ('Steak', 4), ('Fries', 2), ('Chicken', 5), ('Salad', 9)]",642.8,-37.8222436,144.9497997,0,9.079,15.0766651
