order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDC01406,2018-08-07,15:16:03,Lunch,NS,"[('Fries', 6), ('Salad', 4)]",140.8,-37.8125391,144.954121,1,8.335,13.7004279
ORDZ10125,2018-01-12,08:20:16,Breakfast,NS,"[('Cereal', 8), ('Pancake', 6)]",313.5,-37.8093102,144.9721699,1,7.536,6.1674735
ORDZ04175,2018-07-06,14:05:04,Lunch,NS,"[('Steak', 3), ('Salad', 1), ('Chicken', 6), ('Fries', 4), ('Burger', 8)]",714.0,-37.8204822,144.9948056,0,9.86,15.0889282
ORDI03691,2018-04-26,11:43:05,Dinner,NS,"[('Pancake', 9), ('Eggs', 10), ('Cereal', 2)]",480.25,-37.8186975,144.9657741,0,8.614,13.6843679
ORDZ04094,10-04-2018,11:12:40,Breakfast,NS,"[('Eggs', 5), ('Coffee', 3), ('Pancake', 9), ('Cereal', 7)]",497.75,-37.8206094,144.9668683,0,8.802,13.7607436
ORDB10193,2018-10-15,17:27:53,Dinner,TP,"[('Fish&Chips', 5), ('Shrimp', 5), ('Salmon', 2), ('Pasta', 5)]",664.5,37.8094872,144.9757411,0,9.081,13.3875291
ORDX00958,2018-05-25,12:43:56,Breakfast,BK,"[('Salad', 2), ('Steak', 7), ('Chicken', 2)]",413.4,-37.7980831,144.9875429,0,6.412,12.0078776
ORDI03630,2018-09-30,16:57:27,Dinner,NS,"[('Shrimp', 8), ('Fish&Chips', 6), ('Salmon', 4), ('Pasta', 7)]",998.5,37.8122409,144.9638955,0,7.759,16.2514019
ORDI05755,2018-03-07,10:01:41,Breakfast,NS,"[('Cereal', 1), ('Coffee', 7), ('Pancake', 3)]",146.25,-37.8191399,144.9848481,0,8.996,14.1146913
ORDZ08573,2018-04-21,11:32:57,Breakfast,NS,"[('Eggs', 7), ('Cereal', 8), ('Pancake', 3), ('Coffee', 3)]",417.25,-37.8176254,144.9694125,0,8.624,15.7587494
ORDZ06221,2018-03-09,10:11:49,Breakfast,NS,"[('Eggs', 6), ('Cereal', 10)]",658.4,-37.8159561,144.9663331,0,8.163,12.8193185
ORDI09837,2018-04-20,11:32:57,Breakfast,NS,"[('Eggs', 9), ('Cereal', 1)]",219.0,-37.8175268,144.9685529,0,8.722,13.3139383
ORDY05086,2018-02-17,09:31:16,Lunch,TP,"[('Pancake', 9), ('Eggs', 7), ('Coffee', 3)]",394.75,-37.8039715,144.9500151,0,9.989,14.239708
ORDJ02934,2018-11-22,18:49:00,Dinner,TP,"[('Shrimp', 6), ('Pasta', 3), ('Fish&Chips', 1), ('Salmon', 2)]",523.5,-37.8114812,144.9732528,0,8.839,12.245483
ORDX06045,2018-08-06,15:05:54,Lunch,BK,"[('Burger', 2), ('Steak', 10), ('Fries', 5), ('Chicken', 8)]",828.0,-37.8137458,144.9686324,0,7.274,13.4192722
ORDA00121,2018-05-23,12:43:56,Lunch,BK,"[('Chicken', 4), ('Steak', 10), ('Salad', 10), ('Burger', 1), ('Fries', 5)]",841.0,-37.8144495,145.015303,1,4.777,10.4331142
ORDI00471,2018-26-07,14:45:38,Lunch,NS,"[('Salad', 8), ('Fries', 6)]",209.6,-37.8000106,144.968488,0,6.397,10.9758668
ORDJ08294,2018-07-04,14:05:04,Breakfast,TP,"[('Steak', 6), ('Salad', 8)]",407.6,-37.8217037,145.0095335,0,11.502,14.4629341
ORDB03482,2018-02-19,09:31:16,Breakfast,TP,"[('Coffee', 2), ('Cereal', 2), ('Pancake', 2)]",105.5,-37.807166,144.946179,0,9.908,12.3584023
ORDC05669,2018-05-25,12:43:56,Dinner,NS,"[('Burger', 8), ('Salad', 3), ('Fries', 2), ('Chicken', 8), ('Steak', 3)]",714.6,-37.8035321,144.9944033,0,8.459,14.3279936
ORDI10037,2018-05-30,12:54:05,Lunch,NS,"[('Chicken', 3), ('Burger', 7), ('Steak', 1), ('Fries', 3)]",394.0,37.8187668,144.9699889,0,8.424,13.7041622
ORDY00092,2018-02-16,09:31:16,Breakfast,TP,"[('Chicken', 8), ('Pancake', 9), ('Coffee', 10)]",461.25,-37.8176852,145.0071353,0,11.36,13.5923762
ORDZ06591,2018-10-23,17:48:10,Dinner,NS,"[('Shrimp', 7), ('Pasta', 1)]",405.5,-37.8072788,144.9486081,0,9.005,15.0994466
ORDZ10162,2018-05-13,12:23:39,Lunch,ns,"[('Chicken', 7), ('Fries', 2), ('Burger', 7)]",465.0,-37.8081885,144.9600269,0,7.635,14.7890579
ORDX00950,2018-04-28,11:53:14,Breakfast,BK,"[('Coffee', 2), ('Burger', 9), ('Eggs', 1)]",226.0,-37.8235004,144.9690153,0,8.069,15.7701639
ORDJ09088,2018-11-14,18:28:43,Dinner,TP,"[('Fish&Chips', 6), ('Salmon', 3), ('Shrimp', 1)]",387.0,-37.801069,144.9638735,1,9.63,14.0253922
ORDB05473,2018-06-13,13:24:30,Lunch,TP,"[('Burger', 2), ('Steak', 5)]",287.0,-37.8266136,144.9817239,0,9.23,12.7112434
ORDB08870,2018-12-16,19:29:34,Dinner,TP,"[('Pasta', 1), ('Shrimp', 8), ('Salmon', 2)]",85.0,-37.8094281,144.9726966,0,9.091,14.5938197
